"subject" "activity" "count" "average"
1 "LAYING" 561 -0.616747210849554
1 "SITTING" 4488 -0.635271462315305
1 "STANDING" 4488 -0.645893102803877
1 "WALKING" 11220 -0.332940132536013
1 "WALKING_DOWNSTAIRS" 3366 -0.295454302312552
1 "WALKING_UPSTAIRS" 3366 -0.39608601311667
2 "LAYING" 5610 -0.646278309901052
2 "SITTING" 4488 -0.642330966155371
2 "STANDING" 4488 -0.60511270469461
2 "WALKING" 2805 -0.409657041346371
2 "WALKING_UPSTAIRS" 3366 -0.345087355815986
3 "LAYING" 1122 -0.65921261373172
3 "SITTING" 4488 -0.646923717078988
3 "STANDING" 3366 -0.616429714774787
3 "WALKING" 4488 -0.393935012431945
3 "WALKING_DOWNSTAIRS" 3927 -0.371028150086673
3 "WALKING_UPSTAIRS" 3927 -0.422069717156119
4 "LAYING" 3927 -0.624151702545422
4 "SITTING" 3366 -0.613722935688327
4 "STANDING" 6171 -0.632726456602821
4 "WALKING" 2244 -0.460140131472705
4 "WALKING_DOWNSTAIRS" 5610 -0.356853277654551
4 "WALKING_UPSTAIRS" 3366 -0.400573567736967
5 "SITTING" 3366 -0.621065083641533
5 "STANDING" 3366 -0.625518152846435
5 "WALKING" 3366 -0.367554568834139
5 "WALKING_UPSTAIRS" 5610 -0.364323673210204
6 "LAYING" 4488 -0.597442582677522
6 "SITTING" 6732 -0.631003123998076
6 "STANDING" 3366 -0.597917467951854
6 "WALKING" 3366 -0.308927171452891
6 "WALKING_DOWNSTAIRS" 3366 -0.263572685148731
6 "WALKING_UPSTAIRS" 5610 -0.330693014539811
7 "LAYING" 4488 -0.630203853499368
7 "SITTING" 3366 -0.611512202953749
7 "WALKING" 4488 -0.316498644948772
7 "WALKING_UPSTAIRS" 3366 -0.419650782385665
8 "LAYING" 5610 -0.610435978919875
8 "SITTING" 3927 -0.627722957495304
8 "STANDING" 5049 -0.622126206022505
8 "WALKING" 4488 -0.325640961554996
8 "WALKING_DOWNSTAIRS" 3366 -0.2068607271228
8 "WALKING_UPSTAIRS" 3366 -0.309922393473883
9 "LAYING" 3366 -0.633283414701591
9 "SITTING" 3366 -0.640650715537834
9 "STANDING" 1122 -0.654410564245455
9 "WALKING" 1122 -0.373924602438485
9 "WALKING_UPSTAIRS" 3366 -0.420881379925737
10 "LAYING" 5610 -0.642576223146209
10 "SITTING" 3366 -0.646200737018776
10 "STANDING" 3366 -0.633910424927035
10 "WALKING" 7854 -0.309946211852155
10 "WALKING_DOWNSTAIRS" 3366 -0.266341760471578
10 "WALKING_UPSTAIRS" 3366 -0.33385711536227
11 "LAYING" 5049 -0.639625442521016
11 "STANDING" 4488 -0.649554716682224
11 "WALKING" 1683 -0.419501807038176
11 "WALKING_DOWNSTAIRS" 3366 -0.365720676188752
11 "WALKING_UPSTAIRS" 1683 -0.437877723288057
12 "LAYING" 3366 -0.619064231468509
12 "SITTING" 3927 -0.622944874169857
12 "STANDING" 5049 -0.60483628671998
12 "WALKING" 6171 -0.351931599902867
12 "WALKING_DOWNSTAIRS" 3366 -0.362176931619165
12 "WALKING_UPSTAIRS" 3366 -0.419646875945608
13 "LAYING" 6171 -0.623265568824712
13 "SITTING" 6732 -0.644976661666958
13 "STANDING" 3366 -0.64939176295874
13 "WALKING_DOWNSTAIRS" 2244 -0.270114746409489
13 "WALKING_UPSTAIRS" 3366 -0.45123461311038
14 "LAYING" 3366 -0.634045080948146
14 "STANDING" 3366 -0.648301432564528
14 "WALKING" 3927 -0.382084281653051
14 "WALKING_DOWNSTAIRS" 5610 -0.232395964147936
14 "WALKING_UPSTAIRS" 3366 -0.236104063436004
15 "LAYING" 4488 -0.637456074179118
15 "SITTING" 6732 -0.644211099344408
15 "STANDING" 3366 -0.651101850505045
15 "WALKING_DOWNSTAIRS" 4488 -0.307100357078224
15 "WALKING_UPSTAIRS" 4488 -0.405279639741593
16 "LAYING" 7854 -0.631986679211839
16 "SITTING" 3366 -0.653721077433636
16 "STANDING" 1122 -0.618751205073797
16 "WALKING" 4488 -0.444551842586889
16 "WALKING_DOWNSTAIRS" 3366 -0.307804560785321
16 "WALKING_UPSTAIRS" 3366 -0.444929852200238
17 "LAYING" 3366 -0.609947698132121
17 "SITTING" 3366 -0.648459638880508
17 "STANDING" 5610 -0.644539299801914
17 "WALKING" 3366 -0.376014544923333
17 "WALKING_DOWNSTAIRS" 3927 -0.378453624940637
17 "WALKING_UPSTAIRS" 6171 -0.404208813847362
18 "LAYING" 6732 -0.64312883390719
18 "SITTING" 7854 -0.649892052422901
18 "STANDING" 3366 -0.648476958878157
18 "WALKING" 3366 -0.44286260840495
18 "WALKING_DOWNSTAIRS" 4488 -0.444474820153779
19 "LAYING" 4488 -0.621836191737801
19 "SITTING" 3366 -0.636985024178923
19 "STANDING" 3366 -0.651470797086745
19 "WALKING" 3366 -0.221678132161191
19 "WALKING_UPSTAIRS" 5610 -0.306693557877533
20 "LAYING" 1683 -0.601862348698413
20 "SITTING" 3366 -0.631916891389415
20 "STANDING" 7293 -0.624999065794495
20 "WALKING" 4488 -0.267200090259813
20 "WALKING_DOWNSTAIRS" 4488 -0.254220778296937
20 "WALKING_UPSTAIRS" 5610 -0.344907141071867
21 "LAYING" 6732 -0.636878932518085
21 "SITTING" 6732 -0.640926242132358
21 "STANDING" 8976 -0.635218823865592
21 "WALKING" 3366 -0.362550660934896
21 "WALKING_UPSTAIRS" 3366 -0.364791285180354
22 "SITTING" 3366 -0.64396825659107
22 "STANDING" 3366 -0.63440552310175
22 "WALKING" 2805 -0.260900850277451
22 "WALKING_DOWNSTAIRS" 1122 -0.286230780002674
22 "WALKING_UPSTAIRS" 5049 -0.309728946679125
23 "LAYING" 5610 -0.627514617729815
23 "SITTING" 6732 -0.626390180195286
23 "STANDING" 3366 -0.642832344546608
23 "WALKING" 4488 -0.263860844051892
23 "WALKING_DOWNSTAIRS" 3366 -0.150207826844195
23 "WALKING_UPSTAIRS" 7854 -0.378834762096253
24 "LAYING" 6732 -0.640844369626417
24 "SITTING" 4488 -0.642676954890967
24 "STANDING" 7854 -0.634510786048637
24 "WALKING" 3366 -0.408059676562601
24 "WALKING_DOWNSTAIRS" 561 -0.373258844902763
24 "WALKING_UPSTAIRS" 2805 -0.422932591959893
25 "LAYING" 3366 -0.591652650892853
