Sprint,Velocity,Estimation_Inaccuracy,Total_Cards,Done_Cards,Remaining_Points,Notes
17/05/2016,30,58,13,10,8,
31/05/2016,43,89,13,8,23,
10/06/2016,29,86,17,10,34,
28/06/2016,31,77,21,12,43,
12/07/2016,27,34,104,1,68,
9/08/2016,15,8,120,5,113,
23/08/2016,43,44,138,11,40,
6/09/2016,19,0,143,2,93,stopped tracking estimation inaccuracy
28/09/2016,18,0,13,35,15,
18/10/2016,22,0,24,5,0,chris holiday
30/10/2016,17,0,24,5,0,chris holiday
29/11/2016,24,0,40,3,23,
13/12/2016,23.5,0,17,12,29,
03/01/2017,37,0,12,9,28,
17/01/2017,27,0,8,3,38,
31/01/2017,18,0,11,4,38,
13/02/2017,26,0,6,2,23,
