pbrat40plus,
TheCooksCook,
MatthiasEckhart,
Give_it_a_crack,
_7821403033462,
__Hitch_Slap__,
AwaisInnocent2,
eGroupWA,
DAlLYMOTlVATION,
CloudCommerceCO,D. Ho ComethTheNerd Software Engineer for @Microsoft
Scott_P_,S. Jay Coulter Jay_Coulter Business Strategist | Keynote Speaker | Author | Podcaster. I also write books for people who struggle with #stress or #MentalHealth | Founder of @ConquerWorry.
property_shares,"Neil Mills MillsHill_Neil UK IT Recruitment Consultant, see https://t.co/rbZ0DafjWe 
Focus on Cloud Infrastructure especially Azure/Office 365/AWS/DevOps. 
I listen to what you want."
Clover_au,"Perth Today Perth_Today Sharing life, celebrations and events with Perth Today. Please use #PerthToday in your tweets."
AttorneyRanking,Sentifi CH Market Sentifi_CH @Sentifi structures millions of unstructured data from over 3 million financial market relevant voices for people to make better financial decisions.
MirThreeC,JIMS REALTY Jims_Realty_WA Jim's Realty is a licensed Real Estate and Business Agent built on the principle of providing quality service to its clients.
CoDeMonKEh_Dave,Online Ad Lab OnlineAdLab Digital advertising
Database_Scene,Ilana Borsje IBorsje 
dotnetjames,"Subhadra Comfort ComfortSubhadra I <U+0262>o<U+0442> <U+03B9><U+0442> <U+0493>ro<U+043C> <U+043C>y dad, T<U+043D><U+03B9><U+0455> we<U+0432><U+0455><U+03B9><U+0442>e ca<U+0274> <U+03B9><U+0274>crea<U+0455>e yo<U+03C5>r Tw<U+03B9><U+0442><U+0442>er Follower<U+0455> <U+03C5>p <U+0442>o 10,000 Follower<U+0455>! <U+0262>o <U+0442>o https://t.co/bm0uJNSHRQ"
VesterQuant,Patrik Schaer PatrikSchaer Entrepreneurial Mind  I #FinTech Founder @selmafinance I Improviser I Banker I CFA charterholder I MSc @CBScph I Globetrotter I Liberal I Switzerland I Finland
AlertTrade,doris doris ddoris11 Hollywood and money for you!!! The only business that promotes a topic of movie! Watch video: https://t.co/8O2krmI2kB
HaemAus,Salma Noreen salmanoreen66 Freelancer | Web Developer | Writer | Student | Poetry and quotes lover | Big Fan of Pink Panther
jamiedeankeenan,Kamila Bernatikova KakamilkaB 
MCTDKetosis,ADX Energy adx_energy ADX (ASX:ADX) strives to achieve exponential growth based on early entry to high impact exploration opportunities in proven oil and gas basins.
Ketogenic,Matt Reedman MattReedman Former career banker turned SME and consumer advocate! Keeping an eye on unlicensed FinTech 'shadow banking'.
Perth_Today,"TypeScript News TypeScriptNews Follow us for the top TypeScript news, curated by the Twitter community."
Jims_Realty_WA,"ITNews_Channel ITNewChannel A #tech and #IT news channel, curated by AI. Featured IT tool: https://t.co/CO0Vg1UAxI"
OnlineAdLab,"Joshua Davidson dasjoshua Founder/CEO of @ChopDawgStudios. Co-host of #thePawdcast. I build apps & help grow startups. As seen on MSNBC, EliteDaily, FOX, AOL, Inc, Technically, Mashable."
IBorsje,Lynn & Brown Lawyers lynnbrownlawyer 
PatrikSchaer,"Charles Badenach CBadenach Award Winning Financial Adviser, Social Media Enthusiast, Author, Speaker, Sporting Tragic and Father of 3"
ddoris11,Elsa Hunt joshcurtis1221 
salmanoreen66,"fintechgirl fintech_girl A millennial.

This is about her learning journey in the #fintech industry. From #bitcoin, #blockchains to #payments & many more."
KakamilkaB,Elvira Leng zulfiqarshah5 Meow! Let's have some fun? I'm here (my login same in tw) -  https://t.co/hlpohOxo7G
cmuller123,Guy Goldwater GuyAGold Account Manager @RedPixie. all about the #Tech #bigdata #Business | living in the #cloud | Interested in #marketing #finance | LinkedIn: https://t.co/Y4lcLqY6nL
adx_energy,Christopher Anderson crandycodes PM for Microsoft Azure | #AzureFunctions | WebJobs | serverless | #NodeJS | Sci-fi fan | Opinions === Mine alone
MattReedman,Daniel Boterhoven danboterhoven Web Application Architect - Freelance. I like to build cool #tech for the web. Or blow my mind watching #science documentaries.
ITNewChannel,"ProfessionalsPerthWA professionalspm professionals ultimate #perth #wa #realestate #houses #homes #sales #propertymanagement call on 0431417345, 08 9330 5277 e peter@professionalsultimate.com.au"
dasjoshua,"LeanneWatson LeanneWatson CEO of Simple Business Loans, passionate about helping business owners get quick access to working capital without constraints."
lynnbrownlawyer,"Amol Patki ampatki Lean,Kanban,SCRUM Transformation Consultant,Tourist,Positive Thinker"
CBadenach,PrimaryMarkets Primary_Markets #PrimaryMarkets delivers #liquidity for Unlisted Securities and Investments. Sign up as a member at https://t.co/QoAYMJyyvo #fintech #illiquid
joshcurtis1221,"Mark Winslade startxmark Passionate founder turned investor. UX, onboarding, marketing, tech, meeting interesting people and golf is me in a nutshell. Founder @ StartX Capital"
fintech_girl,lendzen lendzen 
zulfiqarshah5,"OneVue Group OneVueGroup OneVue is evolving the way Australians manage their investments in a digital environment. For more information, please visit the website below."
crandycodes,"chauey chauey .NET Architects (https://t.co/D8WWo1JoSd), Angular Architects, Creative Software Solutions, #AngularJS, #DotNET, #MEAN  #iloveuGIFTS - #Angular2"
danboterhoven,StartupKit startupkitio Building The Underdogs - Join a guided peer group to keep you accountable for your most important goals and help you decide on what you should pay attention.
professionalspm,"GAIN Inc GAIN_Inc Women's Health Support, Information and Advocacy"
LeanneWatson,"Perry Dowell PezzaDowell Dad, bald & #CFO @RedPixie. Tweets are my own. #data #fintech"
ampatki,"TitanTrade TitanTradeEN Founded in 2010, we're dedicated to making sure your trading experience is simple and enjoyable. We provide online tools to help you become a better trader."
Primary_Markets,"Aditya Khurjekar khurjekar CEO, @letstalkpaymnts. Check out https://t.co/UpHMbtLjJf - the smart market network for the new global FinTech. Insights - Inspiration - Innovation"
startxmark,Plug and Play PlugandPlayTC Global innovation platform / Connect #startups to #corporations / Most active #VC 2014 @SVbizjournal / Success stories @PayPal @Dropbox @SoundHound @LendingClub
lendzen,"Startup Perth startupperth We're a micro news service amplifying innovation & startup news from #Perth Australia. Please RT, <U+2B50><U+FE0F> & support local entrepreneurs & #startups. Curator @milesb"
OneVueGroup,SteelCloud Analytics steelcloud_IoT We make the #industrial world more efficient through #cloud based software powered by #IoT and #data and #analytics.
chauey,"Ira Michael Blonder mikethebbop 30 years exp marketing & selling Tech products. Cloud IA DataSecurity Product Marketer. MA English. MARCOM, PR  Expository writer. Complex Sales, ISV Biz Dev."
startupkitio,WealthFury WealthFury Coming soon in 2016.....a revolutionary new investment platform for the next generation of investors....its going to be wild! Sign up now for more info.
GAIN_Inc,Sami AlGhaberi AlghaberiSami Business Developer.
PezzaDowell,Alex Tassone AlexTassone 24 yo Entrepreneur. Agencies - @HoochCreative & @BuiltDigital. Startups - @budcitychat & @micepage
TitanTradeEN,"Incremental IncrementalOG Incremental Oil & Gas Limited (AX: IOG) is an E&P company focused on #oilandgas production in onshore North America, listed on #ASX $IOG #oil #gas"
khurjekar,Fintech Finland fin2tech Fintech Finland is an easy-to-approach community for financial tech startups and established companies. Follow us for news & events!
PlugandPlayTC,What is Working Cap WorkingCapLoans https://t.co/0EtNHbCj1l is your source to find the best personal and business loans available. We all need money let us help you find the right lender.
startupperth,Peter Jeung PeterJeung The technology consultant for today's world of #fintech and #digitalsecurity. Lets talk about the #Banking and #Payment Sector.
steelcloud_IoT,Charles Southwood c_southwood Passionate about helping businesses with #bigdata #infrastructure #innovation #government #technology #fintech #telco #banking
